Magnetometer,version=1,hw_revision=1,timescale=1000000
Type,Mode,Timestamp(sec),x,y,z
3,1,57.591,11.24725341796875,-20.08819580078125,-14.9932861328125
3,1,57.793,15.4815673828125,-21.94671630859375,-10.6964111328125
3,1,57.994,14.4012451171875,-20.4193115234375,-13.50555419921875
3,1,58.197,15.88287353515625,-22.2991943359375,-12.5152587890625
3,1,58.398,11.7767333984375,-19.97833251953125,-14.49737548828125
3,1,58.602,7.4371337890625,-20.33233642578125,-16.314697265625
3,1,58.818,13.19427490234375,-19.35577392578125,-14.66217041015625
3,1,59.004,12.4114990234375,-20.3948974609375,-14.49737548828125
3,1,59.204,14.422607421875,-22.16644287109375,-11.688232421875
3,1,59.405,13.80767822265625,-20.7611083984375,-15.81878662109375
3,1,59.609,10.400390625,-21.3592529296875,-16.314697265625
3,1,59.81,13.27972412109375,-18.133544921875,-14.66217041015625
3,1,60.013,12.94097900390625,-20.28350830078125,-14.33258056640625
3,1,60.21,16.51763916015625,-19.9798583984375,-10.2020263671875
3,1,60.411,16.094970703125,-20.6146240234375,-10.5316162109375
3,1,60.613,19.22607421875,-21.93450927734375,-5.57403564453125
3,1,60.814,13.385009765625,-21.3958740234375,-14.49737548828125
3,1,61.015,12.24212646484375,-20.1019287109375,-15.48919677734375
3,1,61.219,12.66632080078125,-22.20306396484375,-13.836669921875
3,1,61.423,15.4388427734375,-21.1883544921875,-12.34893798828125
3,1,61.621,13.702392578125,-20.2362060546875,-11.02752685546875
3,1,61.822,15.289306640625,-19.9066162109375,-11.19232177734375
3,1,62.034,11.96746826171875,-22.01995849609375,-14.9932861328125
3,1,62.228,12.1368408203125,-19.57550048828125,-13.671875
3,1,62.426,13.42620849609375,-19.41680908203125,-15.1580810546875
3,1,62.628,16.47491455078125,-19.22149658203125,-9.210205078125
3,1,62.828,14.10369873046875,-20.5902099609375,-14.49737548828125
3,1,63.033,20.83587646484375,-20.61309814453125,-7.55767822265625
3,1,63.233,13.91448974609375,-18.548583984375,-13.671875
3,1,63.441,11.86065673828125,-18.756103515625,-16.4794921875
3,1,63.644,12.83416748046875,-19.75860595703125,-15.48919677734375
3,1,63.836,13.51165771484375,-20.9320068359375,-14.8284912109375
3,1,64.03700000000001,14.61181640625,-18.73321533203125,-11.5234375
3,1,64.242,10.92987060546875,-21.2493896484375,-14.49737548828125
3,1,64.44,15.3961181640625,-20.4315185546875,-12.34893798828125
3,1,64.64700000000001,12.7716064453125,-19.99053955078125,-15.3228759765625
3,1,64.846,9.5550537109375,-22.63031005859375,-17.96722412109375
