Fusion,version=1,hw_revision=1,timescale=1000000
Type,Mode,Timestamp(sec),Yaw,Pitch,Roll
250,0,69.431,143.7895202636719,-2.325353384017944,178.6565551757813
250,0,69.446,143.8433380126953,-2.462807178497314,178.7007141113281
250,0,69.449,143.8433380126953,-2.462807178497314,178.7007141113281
250,0,69.45099999999999,143.8412017822266,-2.383573055267334,178.7472381591797
250,0,69.456,143.6327972412109,-2.067482233047485,178.4341735839844
250,0,69.46899999999999,143.5780334472656,-1.924695491790771,178.3917846679688
250,0,69.47499999999999,143.7893829345703,-2.321007013320923,178.6590728759766
250,0,69.47499999999999,146.8462219238281,-2.321007013320923,178.6590728759766
250,0,69.48099999999999,146.8462219238281,-2.321007013320923,178.6590728759766
250,0,69.491,146.9240417480469,-2.277716398239136,178.8078155517578
250,0,69.499,147.0799102783203,-2.114993333816528,179.150634765625
250,0,69.508,147.0847320556641,-2.389271974563599,178.9913177490234
250,0,69.517,147.2456207275391,-2.496453523635864,179.1771697998047
250,0,69.524,147.2458801269531,-2.412779569625854,179.2278594970703
250,0,69.53100000000001,147.2458801269531,-2.412779569625854,179.2278594970703
250,0,69.541,147.2444305419922,-2.31963586807251,179.2817230224609
250,0,69.55,147.1665802001953,-2.618459939956665,178.9808654785156
250,0,69.55800000000001,147.1690673828125,-2.720893859863281,178.9233856201172
250,0,69.56699999999999,147.0862884521484,-2.481871128082275,178.937744140625
250,0,69.575,147.006591796875,-2.432859659194946,178.8427124023438
250,0,69.58199999999999,147.006591796875,-2.432859659194946,178.8427124023438
250,0,69.593,146.9268493652344,-2.388056516647339,178.744873046875
250,0,69.602,146.6907196044922,-2.408081531524658,178.3599700927734
250,0,69.608,146.9283752441406,-2.476670265197754,178.6933898925781
250,0,69.61799999999999,146.8485412597656,-2.431941509246826,178.5949096679688
250,0,69.625,146.8461456298828,-2.316673517227173,178.6615753173828
250,0,69.636,146.8461456298828,-2.316673517227173,178.6615753173828
250,0,69.661,147.0062103271484,-2.428312301635742,178.8448791503906
250,0,69.66200000000001,147.0062103271484,-2.428312301635742,178.8448791503906
250,0,69.66200000000001,147.0062103271484,-2.428312301635742,178.8448791503906
250,0,69.664,146.7666168212891,-2.258981227874756,178.5716552734375
250,0,69.667,146.845947265625,-2.308058500289917,178.6665649414063
250,0,69.67700000000001,146.7687530517578,-2.34701681137085,178.5209655761719
250,0,69.67700000000001,147.5080261230469,-2.34701681137085,178.5209655761719
250,0,69.687,147.5080261230469,-2.34701681137085,178.5209655761719
250,0,69.69199999999999,147.4572143554688,-2.29792332649231,178.4256286621094
250,0,69.70099999999999,147.5076751708984,-2.443613767623901,178.4647674560547
250,0,69.70699999999999,147.4574432373047,-2.381279230117798,178.3782501220703
250,0,69.718,147.4573974609375,-2.293649911880493,178.4285736083984
250,0,69.72499999999999,147.4573974609375,-2.293649911880493,178.4285736083984
250,0,69.732,147.5586090087891,-2.418278455734253,178.6028137207031
250,0,69.74299999999999,147.6623687744141,-2.255580425262451,178.9461822509766
250,0,69.751,147.6617889404297,-2.340002298355103,178.8964691162109
250,0,69.773,147.6105499267578,-2.104339599609375,178.9087219238281
250,0,69.77500000000001,147.6621856689453,-2.251344442367554,178.9481658935547
250,0,69.777,147.6621856689453,-2.251344442367554,178.9481658935547
250,0,69.783,147.7126007080078,-2.481871128082275,178.937744140625
250,0,69.79300000000001,147.7630157470703,-2.829463005065918,178.8633575439453
250,0,69.80200000000001,147.8162536621094,-2.696999788284302,179.0645904541016
250,0,69.80800000000001,147.6608734130859,-2.521061182022095,178.7912292480469
250,0,69.818,147.5590057373047,-2.232576608657837,178.7102966308594
250,0,69.82599999999999,147.5590057373047,-2.232576608657837,178.7102966308594
250,0,69.833,147.4562530517578,-2.408081531524658,178.3599700927734
250,0,69.84399999999999,147.5588073730469,-2.33849310874939,178.6489562988281
250,0,69.852,147.5588073730469,-2.33849310874939,178.6489562988281
250,0,69.85299999999999,147.7127685546875,-2.69242262840271,178.8193969726563
250,0,69.86,147.6099853515625,-2.486000537872314,178.6884613037109
250,0,69.869,147.6099853515625,-2.486000537872314,178.6884613037109
250,0,69.877,147.4562530517578,-2.408081531524658,178.3599700927734
250,0,69.878,148.6436920166016,-2.408081531524658,178.3599700927734
250,0,69.886,148.8295745849609,-2.569581508636475,178.6396179199219
250,0,69.89400000000001,148.7085876464844,-2.174740314483643,178.6198577880859
250,0,69.902,148.7674865722656,-2.520541429519653,178.5436859130859
250,0,69.90900000000001,148.7674865722656,-2.520541429519653,178.5436859130859
250,0,69.919,148.6453857421875,-2.222066640853882,178.4676361083984
250,0,69.92700000000001,148.5836181640625,-2.079143524169922,178.4253387451172
250,0,69.935,148.7696380615234,-2.329715490341187,178.6540374755859
250,0,69.946,148.8320465087891,-2.392553806304932,178.7425079345703
250,0,69.953,148.9567718505859,-2.491183757781982,178.9337615966797
250,0,69.959,148.9567718505859,-2.491183757781982,178.9337615966797
250,0,69.97,149.0189666748047,-2.540253639221191,179.0288848876953
250,0,69.97799999999999,148.9577331542969,-2.393746614456177,178.9894256591797
250,0,69.986,148.8337097167969,-2.189274072647095,178.8591461181641
250,0,69.995,148.8965148925781,-2.251344442367554,178.9481658935547
250,0,70.003,148.8338623046875,-2.197490692138672,178.8548583984375
250,0,70.011,148.8338623046875,-2.197490692138672,178.8548583984375
250,0,70.02,148.9559936523438,-2.594013452529907,178.8756713867188
250,0,70.02800000000001,148.9573516845703,-2.500570058822632,178.9297332763672
250,0,70.035,149.0782165527344,-2.779626369476318,179.0144195556641
250,0,70.045,149.1391143798828,-3.041674375534058,178.9924011230469
250,0,70.053,149.1391143798828,-3.041674375534058,178.9924011230469
250,0,70.054,149.137939453125,-3.030246019363403,178.9962005615234
250,0,70.07599999999999,149.137939453125,-3.030246019363403,178.9962005615234
250,0,70.07599999999999,149.0167236328125,-2.736236572265625,178.9173126220703
250,0,70.078,148.8900299072266,-2.706335067749023,178.6840209960938
250,0,70.08,141.1601409912109,-2.706335067749023,178.6840209960938
250,0,70.08499999999999,141.1208648681641,-2.74017596244812,178.5401763916016
